date_of_bite,breed,gender,spay_neuter,borough,zip_code
2017-01-02,Labrador Retriever Crossbreed,Male,No,Brooklyn,11231
2017-01-02,Lhasa Apso,Male,Yes,Brooklyn,11211
2017-01-04,Pit Bull,Unknown,No,Brooklyn,11219
2017-01-07,American Pit Bull Mix - Pit Bull Mix,Unknown,No,Brooklyn,11216
2017-01-10,Jack Russ,Male,Yes,Brooklyn,11216
2017-01-06,American Pit Bull Terrier-Pit Bull,Unknown,No,Brooklyn,11229
2017-01-10,Pit Bull,Unknown,No,Brooklyn,11216
2017-01-09,Pit Bull,Unknown,No,Brooklyn,11206
2017-01-02,Shih Tzu,Male,No,Brooklyn,11218
2017-01-11,Maltese - Shih Tzu Mix,Female,Yes,Brooklyn,11229
2017-01-10,Pit Bull,Unknown,No,Brooklyn,11221
2017-01-12,Pit Bull,Male,No,Brooklyn,11231
2017-01-12,Pit Bull,Female,Yes,Brooklyn,11225
2017-01-16,Pit Bull,Female,No,Brooklyn,11212
2017-01-17,Jack Russ,Female,No,Brooklyn,11233
2017-01-16,Labrador-Pit Bull X,Male,Yes,Brooklyn,11215
2017-01-15,Shih Tzu,Male,No,Brooklyn,11212
2017-01-14,Pit Bull,Male,No,Brooklyn,11203
2017-01-14,Shih Tzu,Female,No,Brooklyn,11207
2017-01-14,Boxer,Male,Yes,Brooklyn,NA
2017-01-19,Mixed,Female,No,Brooklyn,11238
2017-01-18,Doberman Pinscher,Male,Yes,Brooklyn,11223
2017-01-13,Bull Dog-English,Male,No,Brooklyn,11234
2017-01-22,Pit Bull,Female,No,Brooklyn,11208
2017-01-15,Toy Fox Terrier,Male,Yes,Brooklyn,11222
2017-01-23,Mixed,Unknown,No,Brooklyn,NA
2017-01-21,Pit Bull,Unknown,No,Brooklyn,11215
2017-01-25,Australian Cattle,Male,Yes,Brooklyn,11230
2017-01-25,American Pit Bull Terrier-Pit Bull,Female,No,Brooklyn,11208
2017-01-25,German Shepherd,Male,No,Brooklyn,11229
2017-01-28,Beagle Crossbreed,Female,No,Brooklyn,11229
2017-01-27,Pit Bull,Male,Yes,Brooklyn,11221
2017-01-25,American Pit Bull Terrier-Pit Bull,Male,Yes,Brooklyn,11215
2017-01-28,Jack Russell X,Male,Yes,Brooklyn,11221
2017-01-19,Labrador Retriever Crossbreed,Unknown,No,Brooklyn,11228
2017-01-31,German Shepherd Crossbreed,Female,Yes,Brooklyn,11218
2017-01-30,Shih Tzu,Male,Yes,Brooklyn,11236
2017-01-27,Pit Bull,Male,No,Brooklyn,11233
2017-02-01,Maltese,Unknown,No,Brooklyn,11216
2017-02-01,Pit Bull,Unknown,No,Brooklyn,11208
2017-02-04,Rat Terrier,Male,No,Brooklyn,NA
2017-02-04,Poodle X,Male,No,Brooklyn,11215
2017-02-06,Siberian Husky,Male,Yes,Brooklyn,NA
2017-02-06,Mutt,Male,No,Brooklyn,11209
2017-02-06,German Shepherd-Pitbull,Male,Yes,Brooklyn,11225
2017-02-07,Blue Heeler,Unknown,No,Brooklyn,11218
2017-01-31,Pit Bull,Male,No,Brooklyn,11229
2017-02-08,Pit Bull,Female,Yes,Brooklyn,11233
2017-02-03,Corgi,Unknown,No,Brooklyn,11214
2017-02-07,Mixed-Other,Male,No,Brooklyn,NA
2017-02-08,German Shepherd,Male,Yes,Brooklyn,11235
2017-02-10,Goldendoodle,Male,Yes,Brooklyn,11228
2017-02-11,Yorkie Poo- Yorkshire Terrier-Maltese-Poodle,Female,Yes,Brooklyn,11209
2017-02-12,American Pit Bull Terrier-Pit Bull,Male,No,Brooklyn,11208
2017-02-06,Australian Cattledog X,Male,Yes,Brooklyn,11201
2017-01-01,Pit Bull,Female,No,Brooklyn,11226
2017-02-15,American Pit Bull Mix - Pit Bull Mix,Male,Yes,Brooklyn,11233
2017-02-15,Schnauzer-Giant,Unknown,No,Brooklyn,11219
2017-02-16,Great Dane,Unknown,No,Brooklyn,11249
2017-02-16,Rottweiler X,Male,Yes,Brooklyn,11208
2017-02-17,American Pit Bull Terrier-Pit Bull,Male,No,Brooklyn,11207
2017-02-19,American Staffordshire Terrier,Male,No,Brooklyn,11224
2017-02-18,American Pit Bull Mix - Pit Bull Mix,Male,Yes,Brooklyn,11233
2017-02-21,Cock-A-Poo,Male,No,Brooklyn,11229
2017-02-21,German Shepherd,Unknown,No,Brooklyn,11229
2017-02-20,Yorkshire Terrier Crossbreed,Male,No,Brooklyn,11211
2017-02-09,Chihuahua,Unknown,No,Brooklyn,11203
2017-02-21,Pit Bull Mix,Male,Yes,Brooklyn,11205
2017-02-19,Hound-Pit Bull X,Male,Yes,Brooklyn,11238
2017-02-19,Shih Tzu,Male,No,Brooklyn,11236
2017-02-12,Rottweiler X,Male,Yes,Brooklyn,11231
2017-02-17,Pit Bull,Unknown,No,Brooklyn,11212
2017-02-25,Jack Russ,Female,No,Brooklyn,11221
2017-02-25,German Shepherd,Male,Yes,Brooklyn,11226
2017-02-26,American Pit Bull Terrier-Pit Bull,Male,Yes,Brooklyn,11208
2017-02-23,Pit Bull,Unknown,No,Brooklyn,NA
2017-02-06,Siberian Husky,Unknown,No,Brooklyn,11232
2017-02-24,Yorkshire Terrier,Male,Yes,Brooklyn,11236
2017-02-20,Rottweiler,Unknown,No,Brooklyn,11204
2017-02-08,Pit Bull,Unknown,No,Brooklyn,11232
2017-02-28,American Pit Bull Mix - Pit Bull Mix,Female,No,Brooklyn,11208
2017-03-01,Pit Bull,Female,Yes,Brooklyn,11217
2017-02-25,Shih Tzu,Male,No,Brooklyn,11224
2017-02-25,Exotic American Bully,Male,No,Brooklyn,NA
2017-03-03,Silky Terrier,Male,No,Brooklyn,11225
2017-03-05,Pit Bull,Unknown,No,Brooklyn,11221
2017-03-04,Cane Corso,Male,Yes,Brooklyn,11210
2017-03-07,American Pit Bull Terrier-Pit Bull,Male,Yes,Brooklyn,NA
2017-03-07,American Pit Bull Terrier-Pit Bull,Male,Yes,Brooklyn,11221
2017-02-22,Pekingese,Male,No,Brooklyn,NA
2017-02-25,Pit Bull,Unknown,No,Brooklyn,11207
2017-03-05,Chihuahua,Unknown,No,Brooklyn,11221
2017-03-06,Pit Bull,Unknown,No,Brooklyn,NA
2017-02-25,Pit Bull,Unknown,No,Brooklyn,11207
2017-03-09,American Pit Bull Terrier-Pit Bull,Female,Yes,Brooklyn,11222
2017-02-05,Pit Bull,Unknown,No,Brooklyn,11236
2017-03-09,American Pit Bull Terrier-Pit Bull,Female,Yes,Brooklyn,11222
2017-03-09,Coonhound-Black And Tan,Male,Yes,Brooklyn,11222
2017-02-26,Yorkshire Terrier,Female,Yes,Brooklyn,11213
2017-03-12,American Pit Bull Terrier-Pit Bull,Male,No,Brooklyn,11221
2017-03-12,American Pit Bull Terrier-Pit Bull,Male,No,Brooklyn,11221
2017-03-12,Schnauzer-Standard,Unknown,No,Brooklyn,11222
2017-03-12,Bull Dog-French,Male,Yes,Brooklyn,11221
2017-03-11,Brussels Griffon,Male,Yes,Brooklyn,11218
2017-02-20,Newfoundland,Unknown,No,Brooklyn,NA
